    # BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
    # 1)the baryon density $\Omega_b h^2$ and
    # 2)the number of extra relativistic degrees of freedom $\Delta N$
    #
    # $\Delta N=0$ is the number of extra relativistic species (which mimic decoupled neutrinos).
    # If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neutrino decoupling (arXiv:2008.01074).
    #
    # Computation performed with PRIMAT (Python port by Cyril Pitrou 2018-2026)
    # Details on arXiv:1801.08023 and update arXiv:2011.11320
    # Last update 2026 (notably including the LUNA rate for the d(p,g)He3 reaction)
    #
    # Neutron Decay rate $\tau_n$ is 878.4s (+-0.5s), following Particle Data Group 2026
    # CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
    #
    # He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
    # He4 is also provided as $Y_P = Y_{He4} * m_{He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$
    # where $m_{He4}=4.0026032541$ and $m_H1=1.00782503223$ are atomic masses.
    #
    # Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
    #
    # eta10 is $10^{10} eta_0$ where $eta_0$ is the density ratio between baryons and photons AT THE END OF BBN.
    # Hence eta10 ignores the extra production of He4 by stars after BBN. Whenever possible, working with $\Omega_b h^2$ is better.
    #
    # Errors are computed with a Monte-Carlo method on 1000 samples, varying nuclear rates and tau_n.
    # See PRIMAT paper (2018) for details.
    #
    # Ombh2       eta10       DeltaN          Yp              Yp^BBN          sig(Yp^BBN)     D/H             sig(D/H)
  0.036000    9.85494     -3.000000       0.198147        0.199284        0.0001017576    5.625886e-06    1.238925e-07
  0.037000    10.1287     -3.000000       0.198395        0.199533        0.0001017327    5.29109e-06     1.202309e-07
  0.038000    10.4024     -3.000000       0.198636        0.199776        0.0001018604    4.979423e-06    1.166862e-07
  0.039000    10.6762     -3.000000       0.198872        0.200012        0.0001017799    4.68898e-06     1.132505e-07
  0.040000    10.9499     -3.000000       0.199100        0.200242        0.0001016842    4.417892e-06    1.099169e-07
  0.005000    1.36874     -2.500000       0.187490        0.188581        0.0001080158    0.0001740368    1.324498e-06
  0.006000    1.64249     -2.500000       0.190134        0.191236        0.0001065731    0.0001303284    1.009775e-06
  0.007000    1.91624     -2.500000       0.192175        0.193286        0.0001057449    0.0001022581    8.072149e-07
  0.008000    2.18999     -2.500000       0.193831        0.194950        0.0001052749    8.300067e-05    6.688152e-07
  0.009000    2.46374     -2.500000       0.195220        0.196345        0.0001049318    6.910875e-05    5.697328e-07
  0.010000    2.73748     -2.500000       0.196415        0.197545        0.0001046982    5.868658e-05    4.961039e-07
  0.011000    3.01123     -2.500000       0.197464        0.198598        0.0001045276    5.061827e-05    4.397151e-07
  0.012000    3.28498     -2.500000       0.198398        0.199536        0.0001043544    4.421154e-05    3.954353e-07
  0.013000    3.55873     -2.500000       0.199238        0.200381        0.0001042091    3.901556e-05    3.59911e-07
  0.014000    3.83248     -2.500000       0.200004        0.201149        0.0001041413    3.472652e-05    3.308893e-07
  0.015000    4.10623     -2.500000       0.200705        0.201854        0.000104056     3.113285e-05    3.067838e-07
