# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: 0c6cd1afde2fc026
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":100.0,"format_version":1,"incomplete_decoupling":false,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.423097664755147362e+10 1.531616647444158907e+01 -2.907875638828600895e+00
1.599070522068369102e+10 2.908182094572910259e+01 -5.645635218952622658e+00
1.796803267882502365e+10 5.520816060406031767e+01 -1.075578388119028972e+01
2.018986616861160660e+10 1.045733033363951421e+02 -2.025589311923036462e+01
2.268644003451941681e+10 1.977448353542267228e+02 -3.773626709919402344e+01
2.549172724284769058e+10 3.733175266007563096e+02 -6.954787152896375346e+01
2.864390168025358963e+10 7.033524752660065360e+02 -1.274800575300885157e+02
3.218585761771939468e+10 1.323644321002561810e+03 -2.319148420090087086e+02
3.616579340873265839e+10 2.486012170702164894e+03 -4.198538792064947529e+02
4.063786736454887390e+10 4.666029386438798610e+03 -7.593087402986707275e+02
4.566293473157725525e+10 8.749260297556254955e+03 -1.367373408583584933e+03
5.130937579955930328e+10 1.637191835496094063e+04 -2.447722319036015051e+03
5.765402640929790497e+10 3.062500579824170563e+04 -4.401487011682071170e+03
6.478322352213394165e+10 5.720052100578498357e+04 -7.904251593012995727e+03
7.279398007910748291e+10 1.067782236644811055e+05 -1.416886449717556388e+04
8.179530513709378052e+10 1.990527768911677995e+05 -2.533065560352315515e+04
9.190968724610893250e+10 3.710281425567205297e+05 -4.553739904882862174e+04
1.032747612533417053e+11 6.903791071449146839e+05 -8.172302647206146503e+04
1.160451812155009613e+11 1.285041035437262617e+06 -1.468930774761663633e+05
