reaction,Q_keV,alpha,beta,gamma
B11tTOC14g,20597.6,2.8818161e+11,1.5,-239.02552
B12He3TOB11a,17208,1.1183986,0,-199.69049
B12He3TOC14p,17991.8,12.34601,0,-208.78564
B12He3TON14n,17365.9,4.1071575,0,-201.52272
B12He3TON15g,28199.2,1.1109996e+11,1.5,-327.2379
B12aTON15n,7621.56,4.2481819,0,-88.444527
B12aTON16g,10110.4,3.0822337e+10,1.5,-117.3265
B12dTOB13p,2654.25,2.8190831,0,-30.801313
B12dTOBe10a,11472.7,4.2219728,0,-133.13535
B12dTOC13n,15308.8,5.6362523,0,-177.65119
B12dTOC14g,23485.2,2.0167338e+11,1.5,-272.53478
B12nTOB13g,4878.82,1.3295194e+10,1.5,-56.616333
B12pTOBe9a,6885.01,0.29160469,0,-79.897168
B12pTOC12n,12587.1,2.9993874,0,-146.06668
B12pTOC13g,17533.4,2.6581362e+10,1.5,-203.46621
B12tTOBe11a,5717.13,2.2335009,0,-66.344481
B12tTOC14n,17228,12.324012,0,-199.92264
B12tTOC15g,18446.1,1.1100879e+11,1.5,-214.05823
B8He3TOC10p,14865.2,18.564934,0,-172.50323
B8aTOC11p,7408.14,3.078465,0,-85.967951
B8aTON12g,8008.42,7.1824551e+10,1.5,-92.933807
B8dTOBe7He3,5357.1,1.2514853,0,-62.166611
B8dTOC10g,20358.7,3.0326016e+11,1.5,-236.25236
B8nTOBe7d,2088.2,0.36131883,0,-24.232499
B8nTOLi6He3,1974.82,0.49690949,0,-22.916821
B8nTOaap,18854.1,3.6007299e-10,-1.5,-218.79292
B8pTOC9g,1299.57,2.0890862e+10,1.5,-15.080896
B8tTOB10p,18531.8,2.6542225,0,-215.05294
B8tTOBe7a,19677.5,2.0000464,0,-228.34785
B8tTOC10n,14101.4,18.531855,0,-163.64022
B8tTOC11g,27222,8.0365655e+10,1.5,-315.89832
B8tTOaaHe3,18090.4,3.5943141e-10,-1.5,-209.92991
Be10He3TOB10t,538.287,0.14284128,0,-6.246561
Be10He3TOB11d,5735.28,0.26489954,0,-66.555137
Be10He3TOB12p,6880.34,1.3134349,0,-79.843005
Be10He3TOBe9a,13765.3,0.38300379,0,-159.74017
Be10He3TOC12n,19467.4,3.9395002,0,-225.90969
Be10He3TOC13g,24413.7,3.4912889e+10,1.5,-283.30922
Be10aTOC13n,3836.08,1.3349807,0,-44.515842
Be10aTOC14g,12012.5,4.776757e+10,1.5,-139.39942
Be10dTOB11n,9004.19,0.91752172,0,-104.48925
Be10dTOB12g,12373.8,2.1455099e+10,1.5,-143.59214
Be10dTOLi8a,2372.5,0.2986546,0,-27.531685
Be10nTOBe11g,501.638,8.6569952e+09,1.5,-5.8212684
Be10pTOB11g,11228.8,4.327162e+09,1.5,-130.30427
Be10pTOLi7a,2564.44,0.10767485,0,-29.759093
Be10pTOaat,96.8184,1.9343383e-11,-1.5,-1.1235312
Be10tTOB12n,6116.58,1.3110946,0,-70.979996
Be10tTOB13g,10995.4,1.7431257e+10,1.5,-127.59633
Be10tTOLi9a,177.475,0.38214751,0,-2.0595122
Be11He3TOB13p,11257.5,2.0171401,0,-130.63807
Be11He3TOBe10a,20076,3.0209505,0,-232.97211
Be11He3TOC13n,23912.1,4.0329107,0,-277.48795
Be11He3TOC14g,32088.5,1.4430347e+11,1.5,-372.37153
Be11aTOC14n,11510.9,5.5178002,0,-133.57815
Be11aTOC15g,12729,4.97017e+10,1.5,-147.71375
Be11dTOB12n,11872.2,2.478354,0,-137.77087
Be11dTOB13g,16751,3.2950197e+10,1.5,-194.3872
