name,reactants,products,source,ref
Be9He3TOaaa,Be9+He3,He4+He4+He4,tabulated,TALYS2
Be9aTOC12n,Be9+He4,C12+n,tabulated,NACRE II
Be9aTOC13g,Be9+He4,C13+g,tabulated,TALYS2
Be9dTOB10n,Be9+H2,B10+n,tabulated,TALYS2
Be9dTOB11g,Be9+H2,B11+g,tabulated,TALYS2
Be9dTOBe10p,Be9+H2,Be10+p,tabulated,TALYS2
Be9dTOLi7a,Be9+H2,Li7+He4,tabulated,TALYS2
Be9dTOaat,Be9+H2,He4+He4+H3,tabulated,TALYS2
Be9nTOBe10g,Be9+n,Be10+g,analytic,Rau94
Be9pTOB10g,Be9+p,B10+g,tabulated,NACRE II
Be9pTOLi6a,Be9+p,Li6+He4,tabulated,NACRE II
Be9pTOaad,Be9+p,He4+He4+H2,tabulated,NACRE II
Be9pTOaapn,Be9+p,He4+He4+p+n,analytic,NACRE
Be9tTOB11n,Be9+H3,B11+n,tabulated,TALYS2
Be9tTOB12g,Be9+H3,B12+g,tabulated,TALYS2
Be9tTOBe10d,Be9+H3,Be10+H2,tabulated,TALYS2
Be9tTOLi8a,Be9+H3,Li8+He4,tabulated,TALYS2
C10TOB10Bp,C10,B10+Bp,analytic,Aud03
C11He3TOC10a,C11+He3,C10+He4,tabulated,TALYS2
C11He3TON13p,C11+He3,N13+p,tabulated,TALYS2
C11He3TOO14g,C11+He3,O14+g,tabulated,TALYS2
C11TOB11Bp,C11,B11+Bp,analytic,Aud03
C11aTON14p,C11+He4,N14+p,analytic,NACRE
C11aTOO15g,C11+He4,O15+g,tabulated,TALYS2
C11dTOC12p,C11+H2,C12+p,tabulated,CGXSV12
C11dTON13g,C11+H2,N13+g,tabulated,TALYS2
C11nTOC12g,C11+n,C12+g,analytic,Rau94
C11nTOaaa,C11+n,He4+He4+He4,tabulated,CGXSV12
C11pTON12g,C11+p,N12+g,analytic,Tang03
C11tTOB10a,C11+H3,B10+He4,tabulated,TALYS2
C11tTOB11He3,C11+H3,B11+He3,tabulated,TALYS2
C11tTOC12d,C11+H3,C12+H2,tabulated,TALYS2
C11tTOC13p,C11+H3,C13+p,tabulated,TALYS2
C11tTON13n,C11+H3,N13+n,tabulated,TALYS2
C11tTON14g,C11+H3,N14+g,tabulated,TALYS2
C12He3TOC11a,C12+He3,C11+He4,tabulated,TALYS2
C12He3TON14p,C12+He3,N14+p,tabulated,TALYS2
C12He3TOO15g,C12+He3,O15+g,tabulated,TALYS2
C12aTOO16g,C12+He4,O16+g,tabulated,NACRE II
C12dTOC13p,C12+H2,C13+p,tabulated,TALYS2
C12dTON14g,C12+H2,N14+g,tabulated,TALYS2
C12nTOC13g,C12+n,C13+g,tabulated,TALYS2
C12pTON13g,C12+p,N13+g,tabulated,NACRE II
C12tTOB11a,C12+H3,B11+He4,tabulated,TALYS2
C12tTOC14p,C12+H3,C14+p,tabulated,TALYS2
C12tTON14n,C12+H3,N14+n,tabulated,TALYS2
C12tTON15g,C12+H3,N15+g,tabulated,TALYS2
C13He3TOC12a,C13+He3,C12+He4,tabulated,TALYS2
C13He3TON15p,C13+He3,N15+p,tabulated,TALYS2
C13He3TOO15n,C13+He3,O15+n,tabulated,TALYS2
C13He3TOO16g,C13+He3,O16+g,tabulated,TALYS2
C13aTOO16n,C13+He4,O16+n,tabulated,NACRE II
C13aTOO17g,C13+He4,O17+g,tabulated,TALYS2
C13dTOB11a,C13+H2,B11+He4,tabulated,TALYS2
C13dTOC14p,C13+H2,C14+p,tabulated,TALYS2
C13dTON14n,C13+H2,N14+n,tabulated,TALYS2
C13dTON15g,C13+H2,N15+g,tabulated,TALYS2
C13nTOC14g,C13+n,C14+g,tabulated,TALYS2
C13pTON14g,C13+p,N14+g,tabulated,NACRE II
C13tTOB12a,C13+H3,B12+He4,tabulated,TALYS2
C13tTOC15p,C13+H3,C15+p,tabulated,TALYS2
C13tTON15n,C13+H3,N15+n,tabulated,TALYS2
C13tTON16g,C13+H3,N16+g,tabulated,TALYS2
C14He3TOC13a,C14+He3,C13+He4,tabulated,TALYS2
C14He3TON16p,C14+He3,N16+p,tabulated,TALYS2
C14He3TOO16n,C14+He3,O16+n,tabulated,TALYS2
C14He3TOO17g,C14+He3,O17+g,tabulated,TALYS2
C14aTOO18g,C14+He4,O18+g,tabulated,ILCCF10
C14dTOB12a,C14+H2,B12+He4,tabulated,TALYS2
C14dTON15n,C14+H2,N15+n,analytic,Kaw91
C14dTON16g,C14+H2,N16+g,tabulated,TALYS2
C14nTOC15g,C14+n,C15+g,analytic,Kaw91
C14pTON15g,C14+p,N15+g,tabulated,ILCCF10
C14tTON16n,C14+H3,N16+n,tabulated,TALYS2
C14tTON17g,C14+H3,N17+g,tabulated,TALYS2
C15TON15Bm,C15,N15+Bm,analytic,Aud03
