# T[K] Gamma_pTOn[1/s]
# fingerprint_hash: 4fdc559c1b4cbbf9
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"finite_mass_corrections":true,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":true,"thermal_corrections":true,"thermal_fingerprint_hash":"c21cbe75255f86fb","y_SZ":0.0}
6.736684470120808482e+07 -5.323956241031971825e-42
7.055807262739917636e+07 6.776921112268629332e-42
7.390047188604708016e+07 3.423886251686057952e-41
7.740120359891627729e+07 -1.237844362232042970e-40
8.106776811653904617e+07 -5.735104282982555148e-41
8.490802108778786659e+07 1.483221255889817950e-39
8.893019029067637026e+07 -1.833224410316009082e-39
9.314289326045034826e+07 -9.710325695997983243e-39
9.755515575273916125e+07 3.411857184867074835e-38
1.021764310813202858e+08 1.788827095616750016e-38
1.070166203719341457e+08 -4.130015985698424971e-37
1.120860937755381018e+08 4.953721886807718221e-37
1.173957126864527911e+08 2.752404234252319758e-36
1.229568530129994899e+08 -9.401953382380899823e-36
1.287814295504932255e+08 -5.516027082264812745e-36
1.348819215088015497e+08 1.149386719015097667e-34
1.412713992491699457e+08 -1.337055871862633773e-34
1.479635522875908911e+08 -7.797594193703127427e-34
1.549727186247239113e+08 2.590270693871490250e-33
1.623139154651940763e+08 1.685093864039574129e-33
1.700028713920943439e+08 -3.197003520330391122e-32
1.780560600656225383e+08 3.604419881590985137e-32
1.864907355180533528e+08 2.207927108430842652e-31
1.953249691206615865e+08 -7.134567067949617067e-31
2.045776883018089235e+08 -5.106881088345200550e-31
2.142687170991337895e+08 8.890529052007084393e-30
2.244188186327397525e+08 -9.619944663799864817e-30
2.350497395903712809e+08 -6.052170185261788643e-29
2.461842568199017346e+08 2.364058656045853261e-28
2.578462261289400160e+08 8.694110612187472773e-28
2.700606333961229920e+08 8.763541966017127794e-27
2.828536481035947800e+08 1.600520205196773553e-25
2.962526794053691626e+08 1.979085091715468637e-24
3.102864348516941667e+08 2.185856438063998387e-23
3.249849818952549100e+08 2.207827017790627148e-22
3.403798123109682798e+08 2.008445886232694372e-21
3.565039096674089432e+08 1.665055126402976039e-20
3.733918199944082499e+08 1.257397409016219836e-19
3.910797257982562184e+08 8.713734502144513949e-19
4.096055235830545425e+08 5.556811955596554114e-18
4.290089050443339944e+08 3.268866807040888439e-17
4.493314421088839173e+08 1.785524706358695529e-16
4.706166760029976964e+08 9.057648556766660144e-16
4.929102105399506092e+08 4.291351958488343169e-15
5.162598098266089559e+08 1.902722455102513258e-14
5.407155005984696150e+08 7.919001505482644371e-14
5.663296794024143219e+08 3.106190840947516929e-13
5.931572248567932844e+08 1.149985912413142293e-12
6.212556152293941975e+08 4.034710428943324798e-12
6.506850515851603746e+08 1.344002805383361956e-11
6.815085867675396204e+08 4.262701363097047638e-11
7.137922604897956848e+08 1.290756678713361031e-10
7.476052408257019520e+08 3.738250806151939640e-10
7.830199724028053284e+08 1.038289943933129745e-09
8.201123316157089472e+08 2.770255523424064727e-09
8.589617891919622421e+08 7.113963228241879126e-09
8.996515804588438272e+08 1.761389833351346780e-08
9.422688836758164167e+08 4.210358711733452605e-08
9.869050068147871494e+08 9.731344001301554854e-08
1.033655583188279390e+09 2.176903700734118737e-07
1.082620776344705820e+09 4.718756218059332787e-07
1.133905494669714689e+09 9.921268652674042125e-07
1.187619616153371811e+09 2.024993452248602110e-06
1.243878223804812670e+09 4.016500475768517786e-06
1.302801852218650818e+09 7.748308082940504185e-06
1.364516745821486712e+09 1.455354727376873188e-05
1.429155129351755381e+09 2.664419348424658005e-05
1.496855491152500153e+09 4.760170885184168596e-05
1.567762879883925438e+09 8.311101506466320535e-05
1.642029215291518450e+09 1.420122003948612766e-04
1.719813613695526361e+09 2.378827412318622358e-04
