# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: cfa39ba2ebeba8f6
# fingerprint: {"T_end_MeV":0.0001,"T_start_cosmo_MeV":40.0,"format_version":1,"incomplete_decoupling":true,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_spectral_file":null,"sampling_nTOp_thermal":100}
1.935750291250549555e+08 5.321257396447473340e-07 8.666157649827404161e-39
2.174474824005956948e+08 8.400013825660220790e-07 5.582523939878140665e-35
2.442639828911565840e+08 1.297621341314134969e-06 1.401825933557045169e-31
2.743876023725696802e+08 1.977049729295212748e-06 1.521038984544812408e-28
3.082261880963261127e+08 2.983579831046003532e-06 7.800077831542927106e-26
3.462378846818088293e+08 4.514390935270509471e-06 2.053777946955258602e-23
3.889373369905503988e+08 6.772715249387863286e-06 2.979972474198009051e-21
4.369026579639606476e+08 1.017045427298539790e-05 2.547116627014339259e-19
4.907832557628955245e+08 1.528642826181709097e-05 1.359176723101693416e-17
5.513086261816620827e+08 2.311888924614468425e-05 4.774850530524561517e-16
6.192982293779599667e+08 3.511658563871244531e-05 1.160093401750388299e-14
6.956725846410008669e+08 5.353333311415455728e-05 2.035204113987803282e-13
7.814657334111797810e+08 8.230625142582005866e-05 2.682648898135190633e-12
8.778392392895778418e+08 1.274640370927955079e-04 2.748415813968933870e-11
9.860979145851315260e+08 1.985225972333311707e-04 2.258244912908199430e-10
1.107707486322991371e+09 3.091382858856136107e-04 1.531970768450669363e-09
1.244314440896294832e+09 4.778415004701565901e-04 8.796093468221212944e-09
1.397768316040429831e+09 7.276004291659428141e-04 4.399775052385386676e-08
1.570146741943434238e+09 1.087731545546023271e-03 1.937121996401808990e-07
1.763783570527214289e+09 1.581332916105319822e-03 7.740144787270158151e-07
1.981300473745013952e+09 2.233518848552870639e-03 2.797326990113558487e-06
2.225642438708523750e+09 3.041486772341185293e-03 9.115824094821202233e-06
2.500117640217119217e+09 3.991697714486919929e-03 2.673185571546216510e-05
2.808442230528189659e+09 4.992340691148705600e-03 7.054146148751772960e-05
3.154790652782743454e+09 5.896860591090618588e-03 1.679959537336689378e-04
3.543852159285292149e+09 6.417155118555267941e-03 3.621243638815844958e-04
3.980894299846241951e+09 6.055198934524895320e-03 7.082258503669977816e-04
4.471834239762517929e+09 4.183870595503245797e-03 1.265698542269391930e-03
5.023318873019258499e+09 -1.440871952644723342e-04 2.058688630839617881e-03
5.642814815374651909e+09 -7.829911089484237890e-03 3.058531318991807545e-03
6.338709495754812241e+09 -1.944569740312043077e-02 4.179940873318482679e-03
7.120424714647408485e+09 -3.347738878903953885e-02 5.469091335571553761e-03
7.998544206974141121e+09 -4.307619999381134129e-02 7.924265914749303863e-03
8.984956936531223297e+09 -2.959155273403973191e-02 1.590887293559099108e-02
1.009301806207818985e+10 5.065593731180453863e-02 4.242782166561821777e-02
1.133772975441373825e+10 3.050695511962115414e-01 1.238313513831852952e-01
1.273594431254301071e+10 9.506886463202089965e-01 3.509034869881296759e-01
1.430659232894943237e+10 2.450233945480635001e+00 9.308552533326803768e-01
1.607093899312790680e+10 5.716712835475138199e+00 2.346013090737026463e+00
1.805287200350434113e+10 1.265919264679803469e+01 5.625844557529902978e+00
2.027922498581259918e+10 2.686332283115901021e+01 1.297374111879381076e+01
2.278014079673177338e+10 5.556240037448264957e+01 2.894021152808275588e+01
2.558947963159211731e+10 1.127170930023804942e+02 6.287562655233472952e+01
2.874527746156900406e+10 2.249656134472557483e+02 1.338162107172551316e+02
3.229026100720219421e+10 4.440656262015638163e+02 2.792420581129723018e+02
3.627242622052348328e+10 8.678066155512252635e+02 5.742481007721029300e+02
4.074568810793635559e+10 1.681396335204868592e+03 1.164528484753208886e+03
4.577061069187206268e+10 3.241202609083097741e+03 2.335312976385378988e+03
5.141522699426070404e+10 6.203499513913412557e+03 4.636695194734593315e+03
5.775596014367386627e+10 1.184010887678663858e+04 9.130076219305527047e+03
6.487865807710988617e+10 2.248955287621529351e+04 1.784761301260665277e+04
7.287975584538148499e+10 4.259738219439381646e+04 3.466529907976755203e+04
8.186758125868817139e+10 8.037551051975548035e+04 6.688938031835545553e+04
9.196382154966552734e+10 1.512659927588233841e+05 1.285311979420363205e+05
1.033051709112422485e+11 2.841516825868723099e+05 2.458528291369914077e+05
1.160451812155009613e+11 5.325167941592426505e+05 4.678557818206287338e+05
