# T[K] L_pTOnCCRTh
# fingerprint_hash: 808827bedd5a085d
# fingerprint: {"QED_corrections":true,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"sampling_nTOp_thermal":150,"spectral_distortions":true,"y_SZ":0.0}
1.160451812155007152e+06 0.000000000000000000e+00
1.253672669040457346e+06 0.000000000000000000e+00
1.354382098969128216e+06 0.000000000000000000e+00
1.463181670389291598e+06 0.000000000000000000e+00
1.580721276656508446e+06 0.000000000000000000e+00
1.707703018046817277e+06 0.000000000000000000e+00
1.844885395617988426e+06 0.000000000000000000e+00
1.993087841969969217e+06 0.000000000000000000e+00
2.153195615968253464e+06 0.000000000000000000e+00
2.326165090667775832e+06 0.000000000000000000e+00
2.513029466023765039e+06 0.000000000000000000e+00
2.714904940513381269e+06 0.000000000000000000e+00
2.932997378533025272e+06 0.000000000000000000e+00
3.168609513397883624e+06 0.000000000000000000e+00
3.423148728969279211e+06 0.000000000000000000e+00
3.698135466392064467e+06 0.000000000000000000e+00
3.995212306157895830e+06 0.000000000000000000e+00
4.316153779744552448e+06 0.000000000000000000e+00
4.662876969439075328e+06 0.000000000000000000e+00
5.037452959660786204e+06 0.000000000000000000e+00
5.442119208186591044e+06 0.000000000000000000e+00
5.879292911175437272e+06 0.000000000000000000e+00
6.351585441825673915e+06 0.000000000000000000e+00
6.861817948911500163e+06 0.000000000000000000e+00
7.413038208373740315e+06 0.000000000000000000e+00
8.008538828624290414e+06 0.000000000000000000e+00
8.651876918310545385e+06 0.000000000000000000e+00
9.346895334021069109e+06 0.000000000000000000e+00
1.009774563485171832e+07 0.000000000000000000e+00
1.090891288094713911e+07 0.000000000000000000e+00
1.178524242414645478e+07 0.000000000000000000e+00
1.273196885076255910e+07 0.000000000000000000e+00
1.375474724937859736e+07 0.000000000000000000e+00
1.485968699043405987e+07 0.000000000000000000e+00
1.605338821937643550e+07 0.000000000000000000e+00
1.734298128136319667e+07 0.000000000000000000e+00
1.873616931300986558e+07 0.000000000000000000e+00
2.024127425559782237e+07 0.000000000000000000e+00
2.186728656459341571e+07 0.000000000000000000e+00
2.362391891240761057e+07 0.000000000000000000e+00
2.552166420518058166e+07 0.000000000000000000e+00
2.757185826014227793e+07 0.000000000000000000e+00
2.978674751794058830e+07 0.000000000000000000e+00
3.217956219440392405e+07 0.000000000000000000e+00
3.476459530869602412e+07 0.000000000000000000e+00
3.755728805992225558e+07 0.000000000000000000e+00
4.057432206216824800e+07 0.000000000000000000e+00
4.383371898892010003e+07 0.000000000000000000e+00
4.735494822207101434e+07 0.000000000000000000e+00
5.115904314853739738e+07 0.000000000000000000e+00
5.526872679915801436e+07 0.000000000000000000e+00
5.970854758035659045e+07 0.000000000000000000e+00
6.450502590933625400e+07 0.000000000000000000e+00
6.968681262870006263e+07 0.000000000000000000e+00
7.528486014676062763e+07 0.000000000000000000e+00
8.133260732580941916e+07 0.000000000000000000e+00
8.786617922274161875e+07 0.000000000000000000e+00
9.492460287514951825e+07 0.000000000000000000e+00
1.025500404218405932e+08 0.000000000000000000e+00
1.107880409502801001e+08 0.000000000000000000e+00
1.196878125753223747e+08 0.000000000000000000e+00
1.293025163744374216e+08 0.000000000000000000e+00
