# T[K] L_pTOnCCRTh
# fingerprint_hash: 808827bedd5a085d
# fingerprint: {"QED_corrections":true,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"sampling_nTOp_thermal":150,"spectral_distortions":true,"y_SZ":0.0}
1.396895839352056682e+08 0.000000000000000000e+00
1.509110604118803144e+08 0.000000000000000000e+00
1.630339751402070820e+08 2.878357176956830752e-45
1.761307420242955089e+08 3.232937667528204431e-42
1.902795920871724188e+08 2.176306559181035136e-39
2.055650407687853873e+08 9.120355248585289381e-37
2.220783927627585828e+08 2.463978455783359286e-34
2.399182874074511528e+08 4.433731713647385013e-32
2.591912878891160190e+08 5.471109852054835861e-30
2.800125177766344547e+08 4.758363584469544513e-28
3.025063486900575757e+08 2.993874511815859800e-26
3.268071432106052041e+08 1.395603732710787988e-24
3.530600574697548747e+08 4.926946845545799286e-23
3.814219082115249038e+08 1.344525711122017993e-21
4.120621095072012544e+08 2.890269840827748535e-20
4.451636847177680731e+08 4.984739938194523461e-19
4.809243597488255501e+08 7.009375774832849547e-18
5.195577441283257604e+08 8.165447890399267474e-17
5.612946069620963335e+08 7.993980322805535812e-16
6.063842553887897730e+08 6.671515616507446124e-15
6.550960237682232857e+08 4.810082786849663531e-14
7.077208824984805584e+08 3.029106122477911660e-13
7.645731760717209578e+08 1.685461114946050019e-12
8.259925007506810427e+08 8.373981535586615635e-12
8.923457330817526579e+08 3.746443937815597868e-11
9.640292213616168499e+08 1.523037947133232462e-10
1.041471153147698760e+09 5.678066420913884024e-10
1.125134112954372883e+09 1.955331396237461182e-09
1.215517845412750244e+09 6.260800984031841625e-09
1.313162240399310112e+09 1.882372083166500723e-08
1.418650557964442730e+09 5.356073377683417513e-08
1.532612912324409485e+09 1.433311113314417759e-07
1.655730035727636814e+09 3.691418198165384537e-07
1.788737344678170204e+09 9.090656968426884934e-07
1.932429332804980516e+09 2.141166933699431679e-06
2.087664316617127419e+09 4.820293101343349568e-06
2.255369562492714405e+09 1.035785840403879142e-05
2.436546825526579857e+09 2.126351569595433643e-05
2.632278333322072506e+09 4.161093698596774680e-05
2.843733250469903946e+09 7.781967191204826589e-05
3.072174662328422070e+09 1.390855005387043708e-04
3.318967119821494579e+09 2.376261437310587979e-04
3.585584790321600437e+09 3.889506572736231094e-04
3.873620263305624008e+09 6.106410391633298974e-04
4.184794063382347107e+09 9.195592949302623101e-04
4.520964927516030312e+09 1.328335873094339814e-03
4.884140907834819794e+09 1.843867814001501956e-03
5.276491366344703674e+09 2.461309569045288387e-03
5.700359933197033882e+09 3.152635915141698084e-03
6.158278505913402557e+09 3.886016624227000768e-03
6.652982373189378738e+09 4.672640366945067687e-03
7.187426553616637230e+09 5.619727195656235713e-03
7.764803446919225693e+09 7.083656663657348501e-03
8.388561903140430450e+09 1.003402369407259062e-02
9.062427823686676025e+09 1.692006151219243096e-02
9.790426417284263611e+09 3.231381606049981564e-02
1.057690624379107666e+10 6.502300841330060921e-02
1.142656518948417664e+10 1.333233093305937478e-01
1.234447852898171425e+10 2.670580187494564495e-01
1.333612924142169571e+10 5.206006591910722348e-01
1.440744076198518562e+10 9.860532441682048344e-01
1.556481236439972305e+10 1.830580796992772097e+00
1.681515738577212143e+10 3.316896407205187192e+00
1.816594452208106232e+10 5.880335783860925147e+00
1.962524244099864960e+10 1.028265493251558915e+01
2.120176797852801132e+10 1.768562644458387467e+01
2.290493820734995270e+10 3.002822271381600672e+01
2.474492668789897537e+10 5.048321086429566407e+01
2.673272423817380524e+10 8.368812916836958493e+01
2.888020458527858353e+10 1.376896344352966821e+02
3.120019529085327530e+10 2.249467705481897610e+02
3.370655437404993439e+10 3.650047523674375043e+02
3.641425308975088501e+10 5.881763178735174051e+02
3.933946535648548889e+10 9.411602633405959750e+02
4.249966436822799683e+10 1.500747273908488523e+03
4.591372696716772461e+10 2.379415577299017059e+03
4.960204640090243530e+10 3.756611450332221466e+03
5.358665413758853149e+10 5.907364339630560607e+03
5.789135146668624115e+10 9.253887985661196581e+03
6.254185167139502716e+10 1.445544373881900538e+04
6.756593362201323700e+10 2.250802721121981813e+04
7.299360770768927002e+10 3.494956544840543211e+04
7.885729509771961975e+10 5.417334297508580494e+04
8.519202140318063354e+10 8.373255045094208617e+04
9.203562589569299316e+10 1.289401283112100500e+05
9.942898753304737854e+10 1.986669893344617740e+05
1.074162691418125763e+11 3.051237746274589445e+05
1.160451812155009613e+11 4.677772441785772098e+05
