# T[K] L_nTOpCCRTh
# fingerprint_hash: 808827bedd5a085d
# fingerprint: {"QED_corrections":true,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"sampling_nTOp_thermal":150,"spectral_distortions":true,"y_SZ":0.0}
4.120621095072012544e+08 8.299770302887249842e-06
4.451636847177680731e+08 1.086083998260840834e-05
4.809243597488255501e+08 1.425971488927989795e-05
5.195577441283257604e+08 1.868203242570507384e-05
5.612946069620963335e+08 2.462209607620728831e-05
6.063842553887897730e+08 3.257726628028610684e-05
6.550960237682232857e+08 4.293223398451876023e-05
7.077208824984805584e+08 5.694303424397934282e-05
7.645731760717209578e+08 7.574527227777145622e-05
8.259925007506810427e+08 1.011848159674571748e-04
8.923457330817526579e+08 1.355853363695231609e-04
9.640292213616168499e+08 1.822053034821251804e-04
1.041471153147698760e+09 2.447052506661726154e-04
1.125134112954372883e+09 3.278672623668019192e-04
1.215517845412750244e+09 4.381622871370973262e-04
1.313162240399310112e+09 5.820802676715014024e-04
1.418650557964442730e+09 7.674056716389101532e-04
1.532612912324409485e+09 1.002134976586911176e-03
1.655730035727636814e+09 1.293712515243421526e-03
1.788737344678170204e+09 1.651896936156891727e-03
1.932429332804980516e+09 2.079873969914517069e-03
2.087664316617127419e+09 2.577790859923934086e-03
2.255369562492714405e+09 3.144897859490825096e-03
2.436546825526579857e+09 3.770848823935868139e-03
2.632278333322072506e+09 4.432494924491773430e-03
2.843733250469903946e+09 5.102196097676836919e-03
3.072174662328422070e+09 5.708886168149728338e-03
3.318967119821494579e+09 6.195884522547942877e-03
3.585584790321600437e+09 6.410405254789541124e-03
3.873620263305624008e+09 6.273147044753350082e-03
4.184794063382347107e+09 5.470428546537392869e-03
4.520964927516030312e+09 3.894507563175966976e-03
4.884140907834819794e+09 1.202263552144441569e-03
5.276491366344703674e+09 -2.942088596062869890e-03
5.700359933197033882e+09 -8.743065683943281735e-03
6.158278505913402557e+09 -1.611180801513528021e-02
6.652982373189378738e+09 -2.506954893585552208e-02
7.187426553616637230e+09 -3.441343962512271454e-02
7.764803446919225693e+09 -4.227123794914693089e-02
8.388561903140430450e+09 -4.217974608120135527e-02
9.062427823686676025e+09 -2.861631675900686012e-02
9.790426417284263611e+09 2.021153491040456052e-02
1.057690624379107666e+10 1.246398452656304334e-01
1.142656518948417664e+10 3.326395465103249571e-01
1.234447852898171425e+10 7.148595263052571758e-01
1.333612924142169571e+10 1.402262668958250025e+00
1.440744076198518562e+10 2.580664962284426878e+00
1.556481236439972305e+10 4.559732309525730720e+00
1.681515738577212143e+10 7.825333639973495181e+00
1.816594452208106232e+10 1.314760005198869308e+01
1.962524244099864960e+10 2.177581884193107697e+01
2.120176797852801132e+10 3.557408524546470829e+01
2.290493820734995270e+10 5.744388577493836578e+01
2.474492668789897537e+10 9.207889686804983853e+01
2.673272423817380524e+10 1.465089807037896321e+02
2.888020458527858353e+10 2.314338616829439275e+02
3.120019529085327530e+10 3.638860310140861998e+02
3.370655437404993439e+10 5.696753532093824788e+02
3.641425308975088501e+10 8.879378755011633757e+02
3.933946535648548889e+10 1.378191023146940552e+03
4.249966436822799683e+10 2.133493611395556854e+03
4.591372696716772461e+10 3.296904769756023143e+03
4.960204640090243530e+10 5.081567092382333612e+03
5.358665413758853149e+10 7.814687947897267804e+03
5.789135146668624115e+10 1.199042735943584194e+04
6.254185167139502716e+10 1.836783815757222692e+04
6.756593362201323700e+10 2.811565402902195274e+04
7.299360770768927002e+10 4.290315350978993229e+04
7.885729509771961975e+10 6.551082926211106678e+04
8.519202140318063354e+10 9.982213189655847964e+04
9.203562589569299316e+10 1.519103945763205993e+05
9.942898753304737854e+10 2.309889457365988055e+05
1.074162691418125763e+11 3.507985245375041268e+05
1.160451812155009613e+11 5.324684021654846147e+05
