# Source: primat qed_pressure.py — QED plasma-pressure corrections delta_P(T)
# delta_P_a [O(e^2), one-loop] and delta_P_e3 [O(e^3), ring/plasmon];
# Reference: Pitrou et al., Phys. Rep. (2018), eq. 47; PRIMAT-Main.m: dPa, dPe3
# T [MeV]       dP_a [MeV^4]      dP_e3 [MeV^4]      d(dP_a)/dT [MeV^3]  d(dP_e3)/dT [MeV^3]  d2(dP_a)/dT2 [MeV^2]  d2(dP_e3)/dT2 [MeV^2]
2.759826E-03 -0.000000E+00 0.000000E+00 -3.463969E-61 1.978397E-70 -1.909735E-56 1.090718E-65
2.824241E-03 -0.000000E+00 0.000000E+00 1.307871E-60 -7.469723E-70 7.046021E-56 -4.024237E-65
2.890160E-03 -0.000000E+00 0.000000E+00 -4.938054E-60 2.820301E-69 -2.599650E-55 1.484754E-64
2.957617E-03 -0.000000E+00 0.000000E+00 1.864433E-59 -1.064845E-68 9.591482E-55 -5.478042E-64
3.026648E-03 -0.000000E+00 0.000000E+00 -7.039433E-59 4.020474E-68 -3.538805E-54 2.021139E-63
3.097291E-03 -0.000000E+00 0.000000E+00 2.657839E-58 -1.517988E-67 1.305652E-53 -7.457051E-63
3.169582E-03 -0.000000E+00 0.000000E+00 -1.003505E-57 5.731379E-67 -4.817241E-53 2.751300E-62
3.243561E-03 -0.000000E+00 0.000000E+00 3.788877E-57 -2.163964E-66 1.777335E-52 -1.015100E-61
3.319266E-03 -0.000000E+00 0.000000E+00 -1.430545E-56 8.170357E-66 -6.557529E-52 3.745241E-61
3.396739E-03 -0.000000E+00 0.000000E+00 5.401226E-56 -3.084835E-65 2.419419E-51 -1.381818E-60
3.476019E-03 -0.000000E+00 0.000000E+00 -2.039310E-55 1.164724E-64 -8.926516E-51 5.098256E-60
3.557150E-03 -0.000000E+00 0.000000E+00 7.699707E-55 -4.397581E-64 3.293464E-50 -1.881016E-59
3.640175E-03 -0.000000E+00 0.000000E+00 -2.907135E-54 1.660370E-63 -1.215133E-49 6.940063E-59
3.725137E-03 -0.000000E+00 0.000000E+00 1.097630E-53 -6.268963E-63 4.483268E-49 -2.560556E-58
3.812083E-03 -0.000000E+00 0.000000E+00 -4.144260E-53 2.366937E-62 -1.654115E-48 9.447245E-58
3.901058E-03 -0.000000E+00 0.000000E+00 1.564725E-52 -8.936708E-62 6.102903E-48 -3.485588E-57
3.992109E-03 -0.000000E+00 0.000000E+00 -5.907842E-52 3.374182E-61 -2.251684E-47 1.286018E-56
4.085286E-03 -0.000000E+00 0.000000E+00 2.230590E-51 -1.273971E-60 8.307651E-47 -4.744799E-56
4.180637E-03 -0.000000E+00 0.000000E+00 -8.421913E-51 4.810059E-60 -3.065132E-46 1.750607E-55
4.278214E-03 -0.000000E+00 0.000000E+00 3.179814E-50 -1.816106E-59 1.130889E-45 -6.458916E-55
4.378069E-03 -0.000000E+00 0.000000E+00 -1.200584E-49 6.856970E-59 -4.172448E-45 2.383036E-54
4.480254E-03 -0.000000E+00 0.000000E+00 4.532978E-49 -2.588947E-58 1.539437E-44 -8.792279E-54
4.584824E-03 -0.000000E+00 0.000000E+00 -1.711491E-48 9.774940E-58 -5.679796E-44 3.243936E-53
4.691835E-03 -0.000000E+00 0.000000E+00 6.461977E-48 -3.690669E-57 2.095577E-43 -1.196860E-52
4.801343E-03 -0.000000E+00 0.000000E+00 -2.439812E-47 1.393465E-56 -7.731692E-43 4.415848E-52
4.913407E-03 -0.000000E+00 0.000000E+00 9.211859E-47 -5.261225E-56 2.852630E-42 -1.629240E-51
5.028087E-03 -0.000000E+00 0.000000E+00 -3.478069E-46 1.986451E-55 -1.052486E-41 6.011127E-51
5.145444E-03 -0.000000E+00 0.000000E+00 1.313195E-45 -7.500130E-55 3.883177E-41 -2.217823E-50
5.265540E-03 -0.000000E+00 0.000000E+00 -4.958155E-45 2.831781E-54 -1.432709E-40 8.182720E-50
5.388438E-03 -0.000000E+00 0.000000E+00 1.872022E-44 -1.069180E-53 5.286022E-40 -3.019038E-49
5.514206E-03 -0.000000E+00 0.000000E+00 -7.068089E-44 4.036840E-53 -1.950293E-39 1.113883E-48
5.642908E-03 -0.000000E+00 0.000000E+00 2.668658E-43 -1.524167E-52 7.195662E-39 -4.109703E-48
5.774615E-03 -0.000000E+00 0.000000E+00 -1.007590E-42 5.754710E-52 -2.654860E-38 1.516287E-47
5.909396E-03 -0.000000E+00 0.000000E+00 3.804300E-42 -2.172773E-51 9.795183E-38 -5.594383E-47
6.047322E-03 -0.000000E+00 0.000000E+00 -1.436368E-41 8.203616E-51 -3.613961E-37 2.064064E-46
6.188468E-03 -0.000000E+00 0.000000E+00 5.423213E-41 -3.097393E-50 1.333381E-36 -7.615422E-46
6.332908E-03 -0.000000E+00 0.000000E+00 -2.047612E-40 1.169465E-49 -4.919549E-36 2.809732E-45
6.480720E-03 -0.000000E+00 0.000000E+00 7.731051E-40 -4.415482E-49 1.815082E-35 -1.036659E-44
6.631981E-03 -0.000000E+00 0.000000E+00 -2.918969E-39 1.667128E-48 -6.696796E-35 3.824782E-44
6.786773E-03 -0.000000E+00 0.000000E+00 1.102098E-38 -6.294482E-48 2.470802E-34 -1.411164E-43
6.945178E-03 -0.000000E+00 0.000000E+00 -4.161130E-38 2.376572E-47 -9.116095E-34 5.206531E-43
7.107280E-03 -0.000000E+00 0.000000E+00 1.571094E-37 -8.973087E-47 3.363409E-33 -1.920964E-42
7.273165E-03 -0.000000E+00 0.000000E+00 -5.931891E-37 3.387917E-46 -1.240940E-32 7.087454E-42
7.442922E-03 -0.000000E+00 0.000000E+00 2.239671E-36 -1.279157E-45 4.578482E-32 -2.614936E-41
7.616642E-03 -0.000000E+00 0.000000E+00 -8.456196E-36 4.829639E-45 -1.689244E-31 9.647883E-41
7.794416E-03 -0.000000E+00 0.000000E+00 3.192758E-35 -1.823499E-44 6.232515E-31 -3.559614E-40
7.976339E-03 -0.000000E+00 0.000000E+00 -1.205471E-34 6.884883E-44 -2.299504E-30 1.313330E-39
8.162509E-03 -0.000000E+00 0.000000E+00 4.551430E-34 -2.599486E-43 8.484087E-30 -4.845568E-39
