# Source: primat qed_pressure.py — QED plasma-pressure correction delta_P_a(T)
# delta_P_a: O(e^2), one-loop (Frenkel-Galitskii-Migdal)
# Reference: Pitrou et al., Phys. Rep. (2018), eq. 47; PRIMAT-Main.m: dPa
# T [MeV]       dP_a [MeV^4]      d(dP_a)/dT [MeV^3]  d2(dP_a)/dT2 [MeV^2]
1.739726E-03 -0.000000E+00 -9.994366E-73 -8.740880E-68
1.780332E-03 -0.000000E+00 3.773516E-72 3.224973E-67
1.821885E-03 -0.000000E+00 -1.424745E-71 -1.189863E-66
1.864409E-03 -0.000000E+00 5.379328E-71 4.390034E-66
1.907924E-03 -0.000000E+00 -2.031042E-70 -1.619715E-65
1.952456E-03 -0.000000E+00 7.668491E-70 5.975987E-65
1.998026E-03 -0.000000E+00 -2.895349E-69 -2.204857E-64
2.044661E-03 -0.000000E+00 1.093180E-68 8.134885E-64
2.092383E-03 -0.000000E+00 -4.127459E-68 -3.001389E-63
2.141220E-03 -0.000000E+00 1.558381E-67 1.107371E-62
2.191197E-03 -0.000000E+00 -5.883891E-67 -4.085678E-62
2.242340E-03 -0.000000E+00 2.221547E-66 1.507423E-61
2.294676E-03 -0.000000E+00 -8.387769E-66 -5.561679E-61
2.348235E-03 -0.000000E+00 3.166922E-65 2.051997E-60
2.403043E-03 -0.000000E+00 -1.195717E-64 -7.570903E-60
2.459130E-03 -0.000000E+00 4.514600E-64 2.793306E-59
2.516527E-03 -0.000000E+00 -1.704552E-63 -1.030598E-58
2.575263E-03 -0.000000E+00 6.435779E-63 3.802422E-58
2.635371E-03 -0.000000E+00 -2.429921E-62 -1.402915E-57
2.696881E-03 -0.000000E+00 9.174513E-62 5.176094E-57
2.759826E-03 -0.000000E+00 -3.463969E-61 -1.909735E-56
2.824241E-03 -0.000000E+00 1.307871E-60 7.046021E-56
2.890160E-03 -0.000000E+00 -4.938054E-60 -2.599650E-55
2.957617E-03 -0.000000E+00 1.864433E-59 9.591482E-55
3.026648E-03 -0.000000E+00 -7.039433E-59 -3.538805E-54
3.097291E-03 -0.000000E+00 2.657839E-58 1.305652E-53
3.169582E-03 -0.000000E+00 -1.003505E-57 -4.817241E-53
3.243561E-03 -0.000000E+00 3.788877E-57 1.777335E-52
3.319266E-03 -0.000000E+00 -1.430545E-56 -6.557529E-52
3.396739E-03 -0.000000E+00 5.401226E-56 2.419419E-51
3.476019E-03 -0.000000E+00 -2.039310E-55 -8.926516E-51
3.557150E-03 -0.000000E+00 7.699707E-55 3.293464E-50
3.640175E-03 -0.000000E+00 -2.907135E-54 -1.215133E-49
3.725137E-03 -0.000000E+00 1.097630E-53 4.483268E-49
3.812083E-03 -0.000000E+00 -4.144260E-53 -1.654115E-48
3.901058E-03 -0.000000E+00 1.564725E-52 6.102903E-48
3.992109E-03 -0.000000E+00 -5.907842E-52 -2.251684E-47
4.085286E-03 -0.000000E+00 2.230590E-51 8.307651E-47
4.180637E-03 -0.000000E+00 -8.421913E-51 -3.065132E-46
4.278214E-03 -0.000000E+00 3.179814E-50 1.130889E-45
4.378069E-03 -0.000000E+00 -1.200584E-49 -4.172448E-45
4.480254E-03 -0.000000E+00 4.532978E-49 1.539437E-44
4.584824E-03 -0.000000E+00 -1.711491E-48 -5.679796E-44
4.691835E-03 -0.000000E+00 6.461977E-48 2.095577E-43
4.801343E-03 -0.000000E+00 -2.439812E-47 -7.731692E-43
4.913407E-03 -0.000000E+00 9.211859E-47 2.852630E-42
5.028087E-03 -0.000000E+00 -3.478069E-46 -1.052486E-41
5.145444E-03 -0.000000E+00 1.313195E-45 3.883177E-41
5.265540E-03 -0.000000E+00 -4.958155E-45 -1.432709E-40
5.388438E-03 -0.000000E+00 1.872022E-44 5.286022E-40
5.514206E-03 -0.000000E+00 -7.068089E-44 -1.950293E-39
5.642908E-03 -0.000000E+00 2.668658E-43 7.195662E-39
5.774615E-03 -0.000000E+00 -1.007590E-42 -2.654860E-38
5.909396E-03 -0.000000E+00 3.804300E-42 9.795183E-38
6.047322E-03 -0.000000E+00 -1.436368E-41 -3.613961E-37
6.188468E-03 -0.000000E+00 5.423213E-41 1.333381E-36
6.332908E-03 -0.000000E+00 -2.047612E-40 -4.919549E-36
6.480720E-03 -0.000000E+00 7.731051E-40 1.815082E-35
6.631981E-03 -0.000000E+00 -2.918969E-39 -6.696796E-35
6.786773E-03 -0.000000E+00 1.102098E-38 2.470802E-34
6.945178E-03 -0.000000E+00 -4.161130E-38 -9.116095E-34
7.107280E-03 -0.000000E+00 1.571094E-37 3.363409E-33
7.273165E-03 -0.000000E+00 -5.931891E-37 -1.240940E-32
7.442922E-03 -0.000000E+00 2.239671E-36 4.578482E-32
7.616642E-03 -0.000000E+00 -8.456196E-36 -1.689244E-31
7.794416E-03 -0.000000E+00 3.192758E-35 6.232515E-31
7.976339E-03 -0.000000E+00 -1.205471E-34 -2.299504E-30
8.162509E-03 -0.000000E+00 4.551430E-34 8.484087E-30
8.353023E-03 -0.000000E+00 -1.718458E-33 -3.130228E-29
8.547985E-03 -0.000000E+00 6.488282E-33 1.154907E-28
8.747496E-03 -0.000000E+00 -2.449744E-32 -4.261061E-28
8.951665E-03 -0.000000E+00 9.249358E-32 1.572131E-27
9.160598E-03 -0.000000E+00 -3.492228E-31 -5.800422E-27
9.374409E-03 -0.000000E+00 1.318541E-30 2.140082E-26
9.593209E-03 -0.000000E+00 -4.978338E-30 -7.895895E-26
9.817117E-03 -0.000000E+00 1.879643E-29 2.913213E-25
1.004625E-02 -0.000000E+00 -7.096861E-29 -1.074838E-24
1.028073E-02 -3.988188E-32 -2.423038E-28 -3.865568E-25
1.052069E-02 -1.343439E-31 -6.500140E-28 -3.011673E-24
1.076624E-02 -4.409972E-31 -2.076656E-27 -8.608061E-24
1.101753E-02 -1.411518E-30 -6.351779E-27 -2.541784E-23
1.127468E-02 -4.407801E-30 -1.898379E-26 -7.282783E-23
1.153783E-02 -1.343656E-29 -5.537963E-26 -2.037853E-22
1.180713E-02 -4.000606E-29 -1.577905E-25 -5.567987E-22
