1.277497374999999984e-02,1.000001846323023802e+00,1.000001846322595034e+00,1.000001846324571009e+00,1.000001846320619059e+00,2.441258103153421877e-05,3.041859208963160199e-09
1.295285343962447773e-02,1.000001899056184307e+00,1.000001898363118258e+00,1.000001897996794842e+00,1.000001897998281430e+00,2.610662346444759047e-05,2.592405623502713752e-09
1.313320993934658301e-02,1.000001952509187442e+00,1.000001951776769316e+00,1.000001951389999144e+00,1.000001951390799393e+00,2.705041848770686685e-05,2.326917769579495143e-09
1.331607773645528819e-02,1.000002007469200871e+00,1.000002006692348289e+00,1.000002006281649258e+00,1.000002006283473133e+00,2.781115561854303743e-05,2.255046593901965934e-09
1.350149179844317357e-02,1.000002063976447753e+00,1.000002063153302645e+00,1.000002062717906259e+00,1.000002062720261709e+00,2.859365108936462509e-05,2.253679465269442517e-09
1.368948757969278007e-02,1.000002122074779232e+00,1.000002121202924865e+00,1.000002120743261447e+00,1.000002120742722100e+00,2.939795487748652567e-05,2.288850220466542851e-09
1.388010102825613587e-02,1.000002181809786617e+00,1.000002180885869452e+00,1.000002180397537854e+00,1.000002180399376828e+00,3.022394729716960940e-05,2.309193281035959444e-09
1.407336859272863630e-02,1.000002243228083065e+00,1.000002242248025253e+00,1.000002241729492036e+00,1.000002241732486308e+00,3.107394168357139024e-05,2.307375401855438213e-09
1.426932722921862504e-02,1.000002306376103656e+00,1.000002305336537001e+00,1.000002304787851459e+00,1.000002304788350393e+00,3.194789326774638994e-05,2.307662727574211203e-09
1.446801440841408506e-02,1.000002371302456616e+00,1.000002370199893020e+00,1.000002369617440712e+00,1.000002369618995468e+00,3.284647819954023158e-05,2.310160063245803030e-09
1.466946812274763645e-02,1.000002438057115306e+00,1.000002436887942769e+00,1.000002436270065020e+00,1.000002436272184658e+00,3.377039086428710029e-05,2.314981761841750085e-09
1.487372689366139866e-02,1.000002506691586301e+00,1.000002505451960788e+00,1.000002504797294689e+00,1.000002504798652270e+00,3.471955440512614110e-05,2.321338010702334032e-09
1.508082977897289879e-02,1.000002577261171366e+00,1.000002575945135863e+00,1.000002575249985481e+00,1.000002575251683012e+00,3.569540459112494909e-05,2.311975721980275011e-09
1.529081638034366329e-02,1.000002649818489520e+00,1.000002648421292495e+00,1.000002647683622348e+00,1.000002647684720580e+00,3.669917257490448286e-05,2.298654155907797758e-09
1.550372685085170919e-02,1.000002724419403632e+00,1.000002722936123911e+00,1.000002722153018997e+00,1.000002722154157642e+00,3.773123008070245751e-05,2.281179911634012569e-09
1.571960190266949789e-02,1.000002801121344875e+00,1.000002799546885646e+00,1.000002798715843078e+00,1.000002798716653540e+00,3.879237510481348632e-05,2.259352038791462292e-09
1.593848281484884846e-02,1.000002879983489468e+00,1.000002878312457932e+00,1.000002877430492987e+00,1.000002877431260817e+00,3.988247616259814278e-05,2.232477536168175902e-09
1.616041144121415155e-02,1.000002961069747842e+00,1.000002959293810223e+00,1.000002958356590588e+00,1.000002958357186555e+00,4.100309579249418322e-05,2.188551340154276659e-09
